retained_path,source_archive_path,source_sha256,authority,transformation
data/hardware/components/drive_unit_la024_la016/exact/drive_unit_reference.stp,hardware-kit/repo-pr311/references/official_interfaces/LA016_complete_reducer_reference.stp,4cf383cfa71ea844a761c7caa4764fb1087fa61ca0c42718fba1bc0b70962863,official_exact_cad,copied byte-for-byte
data/hardware/components/controller_xa003_xa004/exact/controller_receiver.stp,hardware-kit/repo-pr311/references/official_interfaces/XA003_XA004_receiver.stp,0aa331d8648f38cf3eb203c2a4dd7621e25985feb8a757cd1c4565269365e921,official_exact_cad,copied byte-for-byte
data/hardware/components/battery_pc003/exact/battery.stp,hardware-kit/repo-pr311/references/official_interfaces/PC003_battery.stp,11ab308480aa40176330334843c89d5b75bfc6f0cc9235657432ca52fd6ea0c1,official_exact_cad,copied byte-for-byte
data/hardware/components/power_switch_xa007/exact/power_switch.step,hardware-kit/repo-pr311/references/official_interfaces/XA007_power_switch.step,d0a9a84b3cbb9a46eed2cd9e23334b54182b445419c5c5838b2dccc60977177d,official_exact_cad,copied byte-for-byte
data/hardware/components/fastener_aa050/exact/m2_5x6_bhcs.step,hardware-kit/repo-pr311/references/official_interfaces/AA050_M2.5x6_BHCS.step,e606bc3c917d0c87f6015fd8ffd03002afb3f6bc2e96d8f1e6841c4faacadf24,official_exact_cad,copied byte-for-byte
data/appearance/vehicle_appearance.stl,input-model/online-input.stl,bd877ac21d6a9563c095a9787f75894330bd498f398a27c1751698e8ff3157b8,raw_user_appearance,copied byte-for-byte
data/appearance/appearance.json,input-model/source-metadata.json + provenance.json,see source files in supplied archive,derived_metadata,sanitized relevant fields; removed run/object-storage identifiers
data/provenance/source_facts.json,hardware-kit/repo-pr311/hardware-profile.v1.json,5b480bac41370fc193033395a6e4dd2e7e738f2af32d5e023b43aa579df4b785,selected_source_facts,selected hardware-intrinsic fields only
data/hardware/components/drive_wheel_37mm/proxy/wheel_collision_proxy.stl,hardware-kit/hardware-inventory.json + hardware-kit/repo-pr311/hardware-profile.v1.json,inventory:f9751e7c6900fb6c222beae78ed67ca475b9b386cffd89d6c66d8783c03044d5;profile:5b480bac41370fc193033395a6e4dd2e7e738f2af32d5e023b43aa579df4b785,generated_collision_proxy,"generated cylinder: diameter 37 mm, width 13 mm, axis +X; no historical pose or preview geometry used"
data/hardware/components/front_idler_wheel_37mm/proxy/wheel_collision_proxy.stl,hardware-kit/hardware-inventory.json + hardware-kit/repo-pr311/hardware-profile.v1.json,inventory:f9751e7c6900fb6c222beae78ed67ca475b9b386cffd89d6c66d8783c03044d5;profile:5b480bac41370fc193033395a6e4dd2e7e738f2af32d5e023b43aa579df4b785,generated_collision_proxy,"generated cylinder: diameter 37 mm, width 13 mm, axis +X; no historical pose or preview geometry used"
